 code plate_name plate_id
0 HK.BK1001 乳制品 10001001
1 HK.BK1002 供应链管理 10001002
2 HK.BK1003 保险 10001003
3 HK.BK1004 信贷 10001004
4 HK.BK1005 公共运输 10001005
5 HK.BK1006 其他金属 10001006
6 HK.BK1007 其他金融 10001007
7 HK.BK1009 出版 10001009
8 HK.BK1010 包装食品 10001010
9 HK.BK1011 化肥农药 10001011
10 HK.BK1012 医疗设备 10001012
11 HK.BK1013 半导体 10001013
12 HK.BK1014 卫星通讯 10001014
13 HK.BK1015 印刷包装 10001015
14 HK.BK1016 可再生能源 10001016
15 HK.BK1017 商业用车 10001017
16 HK.BK1019 地产发展商 10001019
17 HK.BK1020 地产投资 10001020
18 HK.BK1021 家具 10001021
19 HK.BK1022 家庭电器 10001022
20 HK.BK1025 工业器材 10001025
21 HK.BK1026 广告及宣传 10001026
22 HK.BK1027 广播 10001027
23 HK.BK1028 建筑材料 10001028
24 HK.BK1029 影视娱乐 10001029
25 HK.BK1030 投资及资管 10001030
26 HK.BK1031 支援服务 10001031
27 HK.BK1032 文娱设施 10001032
28 HK.BK1033 新能源物料 10001033
29 HK.BK1034 旅游观光 10001034
30 HK.BK1037 林业木材 10001037
31 HK.BK1039 水务 10001039
32 HK.BK1040 汽车 10001040
33 HK.BK1041 汽车零件 10001041
34 HK.BK1042 油气生产商 10001042
35 HK.BK1043 油气设备 10001043
36 HK.BK1044 煤炭 10001044
37 HK.BK1045 燃气供应 10001045
38 HK.BK1046 特殊化工品 10001046
39 HK.BK1048 环保工程 10001048
40 HK.BK1049 珠宝钟表 10001049
41 HK.BK1050 生物科技 10001050
42 HK.BK1051 电力 10001051
43 HK.BK1052 电子消费品 10001052
44 HK.BK1053 电脑器材 10001053
45 HK.BK1054 电讯服务 10001054
46 HK.BK1056 百货商城 10001056
47 HK.BK1058 电商及互联网 10001058
48 HK.BK1059 纸及纸制品 10001059
49 HK.BK1061 综合企业 10001061
50 HK.BK1062 美容护理 10001062
51 HK.BK1063 航天军工 10001063
52 HK.BK1064 航空服务 10001064
53 HK.BK1065 航空物流 10001065
54 HK.BK1066 航运及港口 10001066
55 HK.BK1067 药品 10001067
56 HK.BK1068 证券经纪 10001068
57 HK.BK1069 赌场博彩 10001069
58 HK.BK1070 超市便利店 10001070
59 HK.BK1071 酒店度假村 10001071
60 HK.BK1072 酒精饮料 10001072
61 HK.BK1073 重型基建 10001073
62 HK.BK1074 重机械 10001074
63 HK.BK1075 钢铁 10001075
64 HK.BK1076 铁路公路 10001076
65 HK.BK1077 铜 10001077
66 HK.BK1078 铝 10001078
67 HK.BK1079 银行 10001079
68 HK.BK1080 非酒精饮料 10001080
69 HK.BK1082 食品添加剂 10001082
70 HK.BK1083 餐饮 10001083
71 HK.BK1084 黄金贵金属 10001084
72 HK.BK1086 医疗及医美 10001086
73 HK.BK1087 房地产信托 10001087
74 HK.BK1090 物业管理 10001090
75 HK.BK1091 教育 10001091
76 HK.BK1102 光伏太阳能 10001102
77 HK.BK1103 国企股 10001103
78 HK.BK1104 手游股 10001104
79 HK.BK1106 红筹股 10001106
80 HK.BK1107 蓝筹股 10001107
81 HK.BK1108 黄金股 10001108
82 HK.BK1109 港A股 10001109
83 HK.BK1110 阿里概念股 10001110
84 HK.BK1112 环保 10001112
85 HK.BK1113 彩票股 10001113
86 HK.BK1114 濠赌股 10001114
87 HK.BK1116 医疗保健 10001116
88 HK.BK1117 互联网+ 10001117
89 HK.BK1118 高铁基建股 10001118
90 HK.BK1119 内险股 10001119
91 HK.BK1120 内银股 10001120
92 HK.BK1121 中资券商股 10001121
93 HK.BK1122 内房股 10001122
94 HK.BK1123 军工股 10001123
95 HK.BK1124 电信股 10001124
96 HK.BK1126 房地产基金 10001126
97 HK.BK1127 风电股 10001127
98 HK.BK1128 燃气股 10001128
99 HK.BK1130 保险股 10001130
100 HK.BK1131 奢侈品股 10001131
101 HK.BK1132 石油股 10001132
102 HK.BK1133 石化股 10001133
103 HK.BK1135 煤炭股 10001135
104 HK.BK1136 页岩气 10001136
105 HK.BK1137 电力设备股 10001137
106 HK.BK1138 重型机械股 10001138
107 HK.BK1139 电池 10001139
108 HK.BK1143 水务股 10001143
109 HK.BK1144 公路铁路股 10001144
110 HK.BK1145 航空股 10001145
111 HK.BK1146 建材水泥股 10001146
112 HK.BK1147 蓝筹地产股 10001147
113 HK.BK1148 百货业股 10001148
114 HK.BK1149 国内零售股 10001149
115 HK.BK1150 体育用品股 10001150
116 HK.BK1152 二胎 10001152
117 HK.BK1154 化妆美容股 10001154
118 HK.BK1155 连锁快餐店 10001155
119 HK.BK1156 家电股 10001156
120 HK.BK1157 物流 10001157
121 HK.BK1160 纸业股 10001160
122 HK.BK1161 双11 10001161
123 HK.BK1162 虚拟现实 10001162
124 HK.BK1165 雄安概念股 10001165
125 HK.BK1167 LED 10001167
126 HK.BK1168 MSCI中国大陆小型股 10001168
127 HK.BK1169 MSCI中国香港小型股 10001169
128 HK.BK1170 核电 10001170
129 HK.BK1171 生物科技 10001171
130 HK.BK1172 新能源电池 10001172
131 HK.BK1922 港股通(深) 10001922
