 code lot_size stock_name
0 HK.00001 500 长和
1 HK.00002 500 中电控股
2 HK.00003 1000 香港中华煤气
3 HK.00005 400 汇丰控股
4 HK.00006 500 电能实业
5 HK.00011 100 恒生银行
6 HK.00012 1000 恒基地产
7 HK.00016 1000 新鸿基地产
8 HK.00019 500 太古股份公司A
9 HK.00330 100 思捷环球
10 HK.00386 2000 中国石油化工股份
11 HK.00388 100 香港交易所
12 HK.00494 2000 利丰
13 HK.00762 2000 中国联通
14 HK.00857 2000 中国石油股份
15 HK.00883 1000 中国海洋石油
16 HK.00939 1000 建设银行
17 HK.00941 500 中国移动
18 HK.01088 500 中国神华
19 HK.01398 1000 工商银行
20 HK.01800 1000 中国交通建设
21 HK.02318 500 中国平安
22 HK.02388 500 中银香港
23 HK.02628 1000 中国人寿
