 code lot_size stock_name
0 US.AAAP 1 "ADVANCED ACCELERATOR APPLICATIONS S.A."
1 US.AAL 1 美国航空
2 US.AAME 1 美国大西洋
3 US.AAOI 1 "Applied Optoelectronics, Inc."
4 US.AAON 1 艾伦建材
5 US.AAPC 1 "ATLANTIC ALLIANCE PARTNERSHIP CORP COM NPV"
6 US.AAPL 1 苹果
7 US.AAWW 1 阿特拉斯航空全球控股公司
8 US.ABAC 1 奥信天力
9 US.ABAX 1 爱贝斯公司
10 US.ABCB 1 ABC银行
11 US.ABCD 1 新生
12 US.ABEO 1 "Abeona Therapeutics, Inc."
13 US.ABIL 1 "Ability, Inc."
14 US.ABIO 1 方舟生物医药
15 US.ABMD 1 阿比奥梅德
16 US.ABTL 1 "Autobytel Inc"
17 US.ABTX 1 "ALLEGIANCE BANCSHARES, INC"
18 US.ABUS 1 "Arbutus Biopharma Corp."
19 US.ABY 1 "Atlantica Yield Plc"
20 US.ACAD 1 阿卡迪亚
21 US.ACAS 1 "美国资本有限公司 (已退市)"
22 US.ACBI 1 "Atlantic Capital Bancshares, Inc."
23 US.ACET 1 艾切托
24 US.ACFC 1 "Atlantic Coast Financial Corp."
25 US.ACGL 1 艾奇资本
26 US.ACHC 1 阿卡迪亚医疗保健公司
27 US.ACHN 1 爱克莱恩
28 US.ACIA 1 "Acacia Communications"
29 US.ACIU 1 "AC Immune SA"
30 US.ACIW 1 ACI环球
31 US.ACLS 1 Axcelis科技设计公司
32 US.ACNB 1 "ACNB Corp."
33 US.ACOR 1 阿索尔达生物制药公司
34 US.ACRS 1 "ACLARIS THERAPEUTICS, INC."
35 US.ACRX 1 "AcelRx Pharmaceuticals, Inc."
36 US.ACSF 1 "American Capital Senior Floating Ltd."
37 US.ACST 1 "Acasti Pharma, Inc."
38 US.ACTA 1 "Actua Corp."
39 US.ACTG 1 阿卡西亚
40 US.ACUR 1 讴歌制药公司
41 US.ACXM 1 阿克西鄂姆
42 US.ADAP 1 "ADAPTIMMUNE THERAPEUTICS PLC"
43 US.ADBE 1 Adobe
44 US.ADES 1 "Advanced Emissions Solutions, Inc."
45 US.ADHD 1 "Alcobra Ltd."
46 US.ADI 1 亚德诺
47 US.ADMA 1 "ADMA Biologics, Inc."
48 US.ADMP 1 "Adamis Pharmaceuticals Corp."
49 US.ADMS 1 "Adamas Pharmaceuticals, Inc."
50 US.ADP 1 自动数据处理公司
51 US.ADRO 1 "ADURO BIOTECH, INC."
52 US.ADSK 1 欧特克
53 US.ADTN 1 亚川
54 US.ADUS 1 爱德斯
55 US.ADVM 1 "Adverum Biotechnologies Inc"
56 US.ADXS 1 "Advaxis, Inc."
57 US.AEGN 1 "Aegion Corp."
58 US.AEHR 1 "Aehr Test Systems"
59 US.AEIS 1 先进能源工业公司
60 US.AEMD 1 "Aethlon Medical, Inc."
61 US.AEPI 1 AEP工业公司
62 US.AERI 1 "Aerie Pharmaceuticals, Inc."
63 US.AETI 1 美国电力技术
64 US.AEY 1 "ADDvantage Technologies Group, Inc."
65 US.AEZS 1 依特钠
66 US.AFAM 1 阿莫斯特家庭保健
67 US.AFH 1 "Atlas Financial Holdings, Inc."
68 US.AFMD 1 "Affimed Therapeutics B.V."
69 US.AFSI 1 AFSI保险
70 US.AGEN 1 艾吉纳斯公司
71 US.AGFS 1 "AgroFresh Solutions, Inc."
72 US.AGII 1 阿尔戈国际控股集团有限公司
73 US.AGIO 1 "Agios Pharmaceuticals, Inc."
74 US.AGLE 1 "AEGLEA BIOTHERAPEUTICS, INC."
75 US.AGNC 1 美国资本代理公司
76 US.AGRX 1 "Agile Therapeutics"
77 US.AGTC 1 "Applied Genetic Technologies Corp."
78 US.AGYS 1 诶吉利斯公司
79 US.AHGP 1 阿莱恩斯控股
80 US.AHPI 1 联合保健产品
81 US.AIMC 1 奥创控股公司
82 US.AIMT 1 "AIMMUNE THERAPEUTICS, INC."
83 US.AIRG 1 "Airgain, Inc."
84 US.AIRT 1 "Air T, Inc."
85 US.AKAM 1 阿克迈
86 US.AKAO 1 "Achaogen, Inc."
87 US.AKBA 1 "Akebia Therapeutics, Inc."
88 US.AKER 1 "Akers Biosciences, Inc."
89 US.AKRX 1 爱克龙药业
90 US.AKTX 1 "Akari Therapeutics Plc"
91 US.ALBO 1 "Albireo Pharma, Inc."
92 US.ALCO 1 阿利科公司
93 US.ALDR 1 "Alder BioPharmaceuticals"
94 US.ALDX 1 "Aldeyra Therapeutics, Inc."
95 US.ALGN 1 艾利科技
96 US.ALGT 1 忠诚旅游公司
97 US.ALIM 1 "Alimera Sciences"
98 US.ALJJ 1 "ALJ Regional Holdings, Inc."
99 US.ALKS 1 阿尔凯默斯
100 US.ALLT 1 艾奥特通讯
101 US.ALNY 1 阿里拉姆制药
102 US.ALOG 1 安络杰公司
103 US.ALOT 1 "AstroNova, Inc."
104 US.ALQA 1 "Alliqua BioMedical, Inc."
105 US.ALRM 1 "ALARM.COM HOLDINGS, INC."
106 US.ALSK 1 阿拉斯加通信系统
107 US.ALXN 1 亚力兄制药
108 US.AMAG 1 AMAG制药公司
109 US.AMAT 1 应用材料
110 US.AMBA 1 安霸
111 US.AMBC 1 "Ambac Financial Group, Inc."
112 US.AMCC 1 应用微电路公司
113 US.AMCN 1 航美传媒
114 US.AMCX 1 AMC网络公司
115 US.AMD 1 美国超微公司
116 US.AMDA 1 "Amedica Corp."
117 US.AMED 1 阿米斯医疗
118 US.AMGN 1 安进
119 US.AMKR 1 艾马克技术公司
120 US.AMMA 1 "Alliance MMA, Inc."
121 US.AMNB 1 美国国家银行股份公司
122 US.AMOT 1 "Allied Motion科技"
123 US.AMPH 1 "Amphastar Pharmaceuticals"
124 US.AMRB 1 里弗银行
125 US.AMRK 1 "A-Mark Precious Metals, Inc."
126 US.AMRN 1 阿玛琳
127 US.AMRS 1 阿米瑞斯公司
128 US.AMSC 1 美国超导
129 US.AMSF 1 "Amerisafe Inc"
130 US.AMSWA 1 美国软件
131 US.AMTD 1 亚美利交易
132 US.AMTX 1 "Aemetis, Inc."
133 US.AMWD 1 美国伍德马克
134 US.AMZN 1 亚马逊
135 US.ANAT 1 美国国家保险
136 US.ANCB 1 "Anchor Bancorp (Washington)"
137 US.ANCX 1 艾克塞斯国家银行控股公司
138 US.ANDA 1 "Andina Acquisition Corp. II"
139 US.ANDE 1 安德森斯有限公司
140 US.ANGI 1 安吉斯里斯特公司
141 US.ANGO 1 阿吉奥动态有限公司
142 US.ANIK 1 阿尼卡疗法有限公司
143 US.ANIP 1 "ANI Pharmaceuticals, Inc."
144 US.ANSS 1 安西斯
145 US.ANTH 1 Anthera制药
146 US.ANY 1 "Sphere 3D Corp."
147 US.AOSL 1 阿尔法和欧米伽半导体有限公司
148 US.APDN 1 "Applied DNA Sciences, Inc."
149 US.APEI 1 美国公共教育公司
150 US.APLP 1 "Archrock Partners LP"
151 US.APOG 1 远地点企业公司
152 US.APOP 1 "Cellect Biotechnology Ltd. American Depositary Shares"
153 US.APPF 1 "APPFOLIO INC"
154 US.APPS 1 "Digital Turbine, Inc."
155 US.APRI 1 "Apricus Biosciences, Inc."
156 US.APTI 1 Apptio
157 US.APTO 1 "Aptose Biosciences, Inc."
158 US.APVO 1 "Aptevo Therapeutics Inc"
159 US.APWC 1 亚太电线电缆股份有限公司
160 US.AQMS 1 "AQUA METALS, INC."
161 US.AQXP 1 "Aquinox Pharmaceuticals, Inc."
162 US.ARAY 1 精确射线股份有限公司
163 US.ARCB 1 "ArcBest Corp."
164 US.ARCI 1 "Appliance Recycling Centers of America, Inc. (Minnesota)"
