 code lot_size stock_name
0 SZ.000028 100 国药一致
1 SZ.000078 100 海王生物
2 SZ.000423 100 东阿阿胶
3 SZ.000513 100 丽珠集团
4 SZ.000538 100 云南白药
5 SZ.000623 100 吉林敖东
6 SZ.000661 100 长春高新
7 SZ.000766 100 通化金马
8 SZ.000963 100 华东医药
9 SZ.000999 100 华润三九
10 SZ.002001 100 新和成
11 SZ.002007 100 华兰生物
12 SZ.002019 100 亿帆医药
13 SZ.002038 100 双鹭药业
14 SZ.002252 100 上海莱士
15 SZ.002287 100 奇正藏药
16 SZ.002294 100 信立泰
17 SZ.002411 100 必康股份
18 SZ.002422 100 科伦药业
19 SZ.002424 100 贵州百灵
20 SZ.002437 100 誉衡药业
21 SZ.002589 100 瑞康医药
22 SZ.002603 100 以岭药业
23 SZ.300122 100 智飞生物
24 SZ.300142 100 沃森生物
25 SZ.300558 100 贝达药业
26 SZ.300676 100 华大基因
27 SH.600056 100 中国医药
28 SH.600062 100 华润双鹤
29 SH.600079 100 人福医药
30 SH.600085 100 同仁堂
31 SH.600161 100 天坛生物
32 SH.600196 100 复星医药
33 SH.600201 100 生物股份
34 SH.600276 100 恒瑞医药
35 SH.600332 100 白云山
36 SH.600436 100 片仔癀
37 SH.600511 100 国药股份
38 SH.600518 100 康美药业
39 SH.600521 100 华海药业
40 SH.600535 100 天士力
41 SH.600566 100 济川药业
42 SH.600572 100 康恩贝
43 SH.600664 100 哈药股份
44 SH.600867 100 通化东宝
45 SH.600998 100 九州通
46 SH.601607 100 上海医药
47 SH.603233 100 大参林
48 SH.603658 100 安图生物
49 SH.603858 100 步长制药
