 code lot_size stock_name
0 SZ.000068 100 华控赛格
1 SZ.000503 100 海虹控股
2 SZ.000555 100 神州信息
3 SZ.000662 100 天夏智慧
4 SZ.000948 100 南天信息
5 SZ.000997 100 新大陆
6 SZ.002063 100 远光软件
7 SZ.002065 100 东华软件
8 SZ.002095 100 生意宝
9 SZ.002137 100 麦达数字
10 SZ.002153 100 石基信息
11 SZ.002174 100 游族网络
12 SZ.002195 100 二三四五
13 SZ.002230 100 科大讯飞
14 SZ.002232 100 启明信息
15 SZ.002253 100 川大智胜
16 SZ.002261 100 拓维信息
17 SZ.002279 100 久其软件
18 SZ.002298 100 中电鑫龙
19 SZ.002315 100 焦点科技
20 SZ.002331 100 皖通科技
21 SZ.002354 100 天神娱乐
22 SZ.002368 100 太极股份
23 SZ.002373 100 千方科技
24 SZ.002401 100 中远海科
25 SZ.002405 100 四维图新
26 SZ.002410 100 广联达
27 SZ.002421 100 达实智能
28 SZ.002425 100 凯撒文化
29 SZ.002439 100 启明星辰
30 SZ.002464 100 众应互联
31 SZ.002474 100 榕基软件
32 SZ.002517 100 恺英网络
33 SZ.002544 100 杰赛科技
34 SZ.002555 100 三七互娱
35 SZ.002558 100 巨人网络
36 SZ.002609 100 捷顺科技
37 SZ.002642 100 荣之联
38 SZ.002649 100 博彦科技
39 SZ.002657 100 中科金财
40 SZ.002771 100 真视通
41 SZ.002777 100 久远银海
42 SZ.300002 100 神州泰岳
43 SZ.300010 100 立思辰
44 SZ.300017 100 网宿科技
45 SZ.300020 100 银江股份
46 SZ.300031 100 宝通科技
47 SZ.300033 100 同花顺
48 SZ.300036 100 超图软件
49 SZ.300044 100 赛为智能
50 SZ.300047 100 天源迪科
51 SZ.300051 100 三五互联
52 SZ.300052 100 中青宝
53 SZ.300059 100 东方财富
54 SZ.300074 100 华平股份
55 SZ.300075 100 数字政通
56 SZ.300085 100 银之杰
57 SZ.300096 100 易联众
58 SZ.300113 100 顺网科技
59 SZ.300150 100 世纪瑞尔
60 SZ.300166 100 东方国信
61 SZ.300168 100 万达信息
62 SZ.300170 100 汉得信息
63 SZ.300182 100 捷成股份
64 SZ.300188 100 美亚柏科
65 SZ.300209 100 天泽信息
66 SZ.300212 100 易华录
67 SZ.300226 100 上海钢联
68 SZ.300229 100 拓尔思
69 SZ.300231 100 银信科技
70 SZ.300235 100 方直科技
71 SZ.300245 100 天玑科技
72 SZ.300253 100 卫宁健康
73 SZ.300264 100 佳创视讯
74 SZ.300271 100 华宇软件
75 SZ.300277 100 海联讯
76 SZ.300287 100 飞利信
77 SZ.300290 100 荣科科技
78 SZ.300295 100 三六五网
79 SZ.300297 100 蓝盾股份
80 SZ.300300 100 汉鼎宇佑
81 SZ.300302 100 同有科技
82 SZ.300311 100 任子行
83 SZ.300315 100 掌趣科技
84 SZ.300324 100 旋极信息
85 SZ.300339 100 润和软件
86 SZ.300348 100 长亮科技
87 SZ.300352 100 北信源
88 SZ.300359 100 全通教育
89 SZ.300365 100 恒华科技
90 SZ.300369 100 绿盟科技
91 SZ.300377 100 赢时胜
92 SZ.300378 100 鼎捷软件
93 SZ.300379 100 东方通
94 SZ.300380 100 安硕信息
95 SZ.300383 100 光环新网
96 SZ.300386 100 飞天诚信
97 SZ.300399 100 京天利
98 SZ.300418 100 昆仑万维
99 SZ.300419 100 浩丰科技
100 SZ.300431 100 暴风集团
101 SZ.300440 100 运达科技
102 SZ.300451 100 创业软件
103 SZ.300465 100 高伟达
104 SZ.300467 100 迅游科技
105 SZ.300468 100 四方精创
106 SZ.300469 100 信息发展
107 SZ.300494 100 盛天网络
108 SZ.300496 100 中科创达
109 SZ.300508 100 维宏股份
110 SZ.300513 100 恒泰实达
111 SZ.300518 100 盛讯达
112 SZ.300520 100 科大国创
113 SZ.300523 100 辰安科技
114 SZ.300525 100 博思软件
115 SZ.300532 100 今天国际
116 SZ.300533 100 冰川网络
117 SZ.300541 100 先进数通
118 SZ.300542 100 新晨科技
119 SZ.300550 100 和仁科技
120 SZ.300552 100 万集科技
121 SZ.300559 100 佳发安泰
122 SZ.300561 100 汇金科技
123 SZ.300578 100 会畅通讯
124 SZ.300579 100 数字认证
125 SZ.300588 100 熙菱信息
126 SZ.300597 100 吉大通信
127 SZ.300598 100 诚迈科技
128 SZ.300603 100 立昂技术
129 SZ.300605 100 恒锋信息
130 SZ.300608 100 思特奇
131 SZ.300609 100 汇纳科技
132 SZ.300645 100 正元智慧
133 SZ.300659 100 中孚信息
134 SZ.300663 100 科蓝软件
135 SZ.300678 100 中科信息
136 SZ.300682 100 朗新科技
137 SZ.300687 100 赛意信息
