 code lot_size stock_name
0 US.A 1 安捷伦科技
1 US.AAL 1 美国航空
2 US.AAP 1 "Advance Auto Parts, Inc."
3 US.AAPL 1 苹果
4 US.ABBV 1 艾伯维公司
5 US.ABC 1 美源伯根
6 US.ABT 1 雅培
7 US.ACN 1 埃森哲
8 US.ADBE 1 Adobe
9 US.ADI 1 亚德诺
10 US.ADM 1 阿彻丹尼尔斯米德兰公司
11 US.ADP 1 自动数据处理公司
12 US.ADS 1 联合数据
13 US.ADSK 1 欧特克
14 US.AEE 1 阿美能
15 US.AEP 1 美国电力
16 US.AES 1 爱依斯电力
17 US.AET 1 安泰保险
18 US.AFL 1 美国家庭寿险
19 US.AGN 1 艾尔建
20 US.AIG 1 美国国际集团
21 US.AIV 1 公寓投管
22 US.AIZ 1 艾斯兰公司
23 US.AJG 1 亚瑟加拉格尔有限公司
24 US.AKAM 1 阿克迈
25 US.ALB 1 美国雅宝公司
26 US.ALK 1 阿拉斯加航空集团有限公司
27 US.ALL 1 好事达
28 US.ALLE 1 "Allegion plc Ordinary Shares Whe"
29 US.ALXN 1 亚力兄制药
30 US.AMAT 1 应用材料
31 US.AME 1 阿美特克
32 US.AMG 1 艾佛里管理公司
33 US.AMGN 1 安进
34 US.AMP 1 阿莫斯莱斯金融
35 US.AMT 1 美国电塔
36 US.AMZN 1 亚马逊
37 US.AN 1 车之国公司
38 US.ANTM 1 "Anthem, Inc."
39 US.AON 1 怡安保险
40 US.APA 1 阿帕契
41 US.APC 1 阿纳达科石油
42 US.APD 1 "Air Products & Chemicals Inc"
43 US.APH 1 安诺电子
44 US.ARNC 1 美国铝业公司
45 US.ATVI 1 动视暴雪
46 US.AVB 1 阿湾物产
47 US.AVGO 1 博通
48 US.AVY 1 艾利丹尼森
49 US.AWK 1 美国水务
50 US.AXP 1 美国运通
51 US.AYI 1 "Acuity Brands, Inc."
52 US.AZO 1 汽车地带
53 US.BA 1 波音
54 US.BAC 1 美国银行
55 US.BAX 1 百特国际
56 US.BBBY 1 3B家居
57 US.BBT 1 BB&T银行
58 US.BBY 1 百思买
59 US.BCR 1 巴德
60 US.BDX 1 碧迪公司
61 US.BEN 1 富兰克林资源
62 US.BHI 1 贝克休斯
63 US.BIIB 1 生化基因
