 code plate_name plate_id
0 HK.BK1001 乳制品 10001001
1 HK.BK1002 供应链管理 10001002
2 HK.BK1003 保险 10001003
3 HK.BK1004 信贷 10001004
4 HK.BK1005 公共运输 10001005
5 HK.BK1006 其他金属 10001006
6 HK.BK1007 其他金融 10001007
7 HK.BK1008 农产品 10001008
8 HK.BK1009 出版 10001009
9 HK.BK1010 包装食品 10001010
10 HK.BK1011 化肥农药 10001011
11 HK.BK1012 医疗设备 10001012
12 HK.BK1013 半导体 10001013
13 HK.BK1014 卫星通讯 10001014
14 HK.BK1015 印刷包装 10001015
15 HK.BK1016 可再生能源 10001016
16 HK.BK1017 商业用车 10001017
17 HK.BK1019 地产发展商 10001019
18 HK.BK1020 地产投资 10001020
19 HK.BK1021 家具 10001021
20 HK.BK1022 家庭电器 10001022
21 HK.BK1023 禽畜肉类 10001023
22 HK.BK1024 家畜饲料 10001024
23 HK.BK1025 工业器材 10001025
24 HK.BK1026 广告及宣传 10001026
25 HK.BK1027 广播 10001027
26 HK.BK1028 建筑材料 10001028
27 HK.BK1029 影视娱乐 10001029
28 HK.BK1030 投资及资管 10001030
29 HK.BK1031 支援服务 10001031
30 HK.BK1032 文娱设施 10001032
31 HK.BK1033 新能源物料 10001033
32 HK.BK1034 旅游观光 10001034
33 HK.BK1035 服装 10001035
34 HK.BK1036 服饰配件 10001036
35 HK.BK1037 林业木材 10001037
36 HK.BK1038 楼宇建造 10001038
37 HK.BK1039 水务 10001039
38 HK.BK1040 汽车 10001040
39 HK.BK1041 汽车零件 10001041
40 HK.BK1042 油气生产商 10001042
41 HK.BK1043 油气设备 10001043
42 HK.BK1044 煤炭 10001044
43 HK.BK1045 燃气供应 10001045
44 HK.BK1046 特殊化工品 10001046
45 HK.BK1047 玩具 10001047
46 HK.BK1048 环保工程 10001048
47 HK.BK1049 珠宝钟表 10001049
48 HK.BK1050 生物科技 10001050
49 HK.BK1051 电力 10001051
50 HK.BK1052 电子消费品 10001052
51 HK.BK1053 电脑器材 10001053
52 HK.BK1054 电讯服务 10001054
53 HK.BK1055 电讯设备 10001055
54 HK.BK1056 百货商城 10001056
55 HK.BK1057 科技顾问 10001057
56 HK.BK1058 电商及互联网 10001058
57 HK.BK1059 纸及纸制品 10001059
58 HK.BK1060 纺织用品 10001060
59 HK.BK1061 综合企业 10001061
60 HK.BK1062 美容护理 10001062
61 HK.BK1063 航天军工 10001063
62 HK.BK1064 航空服务 10001064
63 HK.BK1065 航空物流 10001065
64 HK.BK1066 航运及港口 10001066
65 HK.BK1067 药品 10001067
66 HK.BK1068 证券经纪 10001068
67 HK.BK1069 赌场博彩 10001069
68 HK.BK1070 超市便利店 10001070
69 HK.BK1071 酒店度假村 10001071
70 HK.BK1072 酒精饮料 10001072
71 HK.BK1073 重型基建 10001073
72 HK.BK1074 重机械 10001074
73 HK.BK1075 钢铁 10001075
74 HK.BK1076 铁路公路 10001076
75 HK.BK1077 铜 10001077
76 HK.BK1078 铝 10001078
77 HK.BK1079 银行 10001079
78 HK.BK1080 非酒精饮料 10001080
79 HK.BK1081 鞋类 10001081
80 HK.BK1082 食品添加剂 10001082
81 HK.BK1083 餐饮 10001083
82 HK.BK1084 黄金贵金属 10001084
83 HK.BK1085 软件开发 10001085
84 HK.BK1086 医疗及医美 10001086
85 HK.BK1087 房地产信托 10001087
86 HK.BK1102 光伏太阳能 10001102
87 HK.BK1103 国企股 10001103
88 HK.BK1104 手游股 10001104
89 HK.BK1106 红筹股 10001106
90 HK.BK1107 蓝筹股 10001107
91 HK.BK1108 黄金股 10001108
92 HK.BK1109 港A股 10001109
93 HK.BK1110 阿里概念股 10001110
94 HK.BK1112 环保 10001112
95 HK.BK1113 彩票股 10001113
96 HK.BK1114 濠赌股 10001114
97 HK.BK1116 医疗保健 10001116
98 HK.BK1117 互联网+ 10001117
99 HK.BK1118 高铁基建股 10001118
100 HK.BK1119 内险股 10001119
101 HK.BK1120 内银股 10001120
102 HK.BK1121 中资券商股 10001121
103 HK.BK1122 内房股 10001122
104 HK.BK1123 军工股 10001123
105 HK.BK1124 电信股 10001124
106 HK.BK1126 房地产基金 10001126
107 HK.BK1127 风电股 10001127
108 HK.BK1128 燃气股 10001128
109 HK.BK1129 医药股 10001129
110 HK.BK1130 保险股 10001130
111 HK.BK1131 奢侈品股 10001131
112 HK.BK1132 石油股 10001132
113 HK.BK1133 石化股 10001133
114 HK.BK1135 煤炭股 10001135
115 HK.BK1136 页岩气 10001136
116 HK.BK1137 电力设备股 10001137
117 HK.BK1138 重型机械股 10001138
118 HK.BK1139 电池 10001139
119 HK.BK1143 水务股 10001143
120 HK.BK1144 公路铁路股 10001144
121 HK.BK1145 航空股 10001145
122 HK.BK1146 建材水泥股 10001146
123 HK.BK1147 蓝筹地产股 10001147
124 HK.BK1148 百货业股 10001148
125 HK.BK1149 国内零售股 10001149
126 HK.BK1150 体育用品股 10001150
127 HK.BK1152 二胎 10001152
128 HK.BK1154 化妆美容股 10001154
129 HK.BK1155 连锁快餐店 10001155
130 HK.BK1156 家电股 10001156
131 HK.BK1157 物流 10001157
132 HK.BK1160 纸业股 10001160
133 HK.BK1161 双11 10001161
134 HK.BK1162 虚拟现实 10001162
135 HK.BK1165 雄安概念股 10001165
136 HK.BK1166 苹果概念 10001166
137 HK.BK1167 LED 10001167
138 HK.BK1168 MSCI中国大陆小型股 10001168
139 HK.BK1169 MSCI中国香港小型股 10001169
140 HK.BK1170 核电 10001170
141 HK.BK1172 新能源电池 10001172
142 HK.BK1922 港股通(深) 10001922
