 code plate_name plate_id
0 SH.BK0001 白色家电 10000001
1 SH.BK0002 半导体 10000002
2 SH.BK0003 包装印刷 10000003
3 SH.BK0004 物流 10000004
4 SH.BK0005 船舶制造 10000005
5 SH.BK0006 电力 10000006
6 SH.BK0007 玻璃制造 10000007
7 SH.BK0008 多元金融 10000008
8 SH.BK0009 采掘服务 10000009
9 SH.BK0010 餐饮 10000010
10 SH.BK0011 畜禽养殖 10000011
11 SH.BK0013 纺织制造 10000013
12 SH.BK0014 地面兵装 10000014
13 SH.BK0015 钢铁 10000015
14 SH.BK0016 港口 10000016
15 SH.BK0017 电机 10000017
16 SH.BK0018 高速公路 10000018
17 SH.BK0019 电气自动化设备 10000019
18 SH.BK0020 电源设备 10000020
19 SH.BK0021 公交 10000021
20 SH.BK0022 电子制造 10000022
21 SH.BK0023 航空运输 10000023
22 SH.BK0024 互联网传媒 10000024
23 SH.BK0025 动物保健 10000025
24 SH.BK0026 房地产开发 10000026
25 SH.BK0027 化学纤维 10000027
26 SH.BK0028 房屋建设 10000028
27 SH.BK0029 机场 10000029
28 SH.BK0030 高低压设备 10000030
29 SH.BK0031 工业金属 10000031
30 SH.BK0032 光学光电子 10000032
31 SH.BK0033 航空装备 10000033
32 SH.BK0034 金属制品 10000034
33 SH.BK0035 航天装备 10000035
34 SH.BK0036 航运 10000036
35 SH.BK0037 旅游 10000037
36 SH.BK0038 煤炭开采 10000038
37 SH.BK0039 化学原料 10000039
38 SH.BK0040 贸易 10000040
39 SH.BK0041 化学制品 10000041
40 SH.BK0042 化学制药 10000042
41 SH.BK0043 环保工程及服务 10000043
42 SH.BK0044 黄金 10000044
43 SH.BK0045 基础建设 10000045
44 SH.BK0046 汽车制造 10000046
45 SH.BK0047 券商 10000047
46 SH.BK0048 汽车配件 10000048
47 SH.BK0049 计算机设备 10000049
48 SH.BK0050 计算机应用 10000050
49 SH.BK0051 家用轻工 10000051
50 SH.BK0052 新材料 10000052
51 SH.BK0053 饲料加工 10000053
52 SH.BK0054 景点 10000054
53 SH.BK0055 食品加工 10000055
54 SH.BK0056 石油石化 10000056
55 SH.BK0057 水泥制造 10000057
56 SH.BK0058 塑料 10000058
57 SH.BK0059 生物制品 10000059
58 SH.BK0060 酒店 10000060
59 SH.BK0061 通信设备 10000061
60 SH.BK0063 林业 10000063
61 SH.BK0064 文化传媒 10000064
62 SH.BK0065 橡胶 10000065
63 SH.BK0066 农产品加工 10000066
64 SH.BK0067 仪器仪表 10000067
65 SH.BK0068 医疗服务 10000068
66 SH.BK0069 农业综合 10000069
67 SH.BK0070 银行 10000070
68 SH.BK0071 医药商业 10000071
69 SH.BK0072 其他采掘 10000072
70 SH.BK0073 综合 10000073
71 SH.BK0074 中药 10000074
72 SH.BK0075 专用设备 10000075
73 SH.BK0076 造纸 10000076
74 SH.BK0077 保险 10000077
75 SH.BK0078 其他电子 10000078
76 SH.BK0079 其他建材 10000079
77 SH.BK0080 其他交运设备 10000080
78 SH.BK0081 其他轻工制造 10000081
79 SH.BK0082 汽车服务 10000082
80 SH.BK0083 燃气 10000083
81 SH.BK0084 商业物业经营 10000084
82 SH.BK0085 石油开采 10000085
83 SH.BK0086 视听器材 10000086
84 SH.BK0087 水务 10000087
85 SH.BK0088 通信运营 10000088
86 SH.BK0089 通用机械 10000089
87 SH.BK0090 稀有金属 10000090
88 SH.BK0091 一般零售 10000091
89 SH.BK0092 医疗器械 10000092
90 SH.BK0093 饮料制造 10000093
91 SH.BK0094 营销传播 10000094
92 SH.BK0095 渔业 10000095
93 SH.BK0096 元件 10000096
94 SH.BK0097 园林工程 10000097
95 SH.BK0098 园区开发 10000098
96 SH.BK0099 运输设备 10000099
97 SH.BK0101 安徽自贸区 10000101
98 SH.BK0102 AH股 10000102
99 SH.BK0103 博彩概念 10000103
100 SH.BK0104 保障房 10000104
101 SH.BK0105 北斗概念 10000105
102 SH.BK0107 超级电容 10000107
103 SH.BK0108 重庆自贸区 10000108
104 SH.BK0109 储能概念 10000109
105 SH.BK0110 触摸屏 10000110
106 SH.BK0111 成渝特区 10000111
107 SH.BK0112 创投 10000112
108 SH.BK0113 财政扶持 10000113
109 SH.BK0114 操盘手80 10000114
110 SH.BK0115 参股金融 10000115
111 SH.BK0116 充电桩 10000116
112 SH.BK0117 电力改革 10000117
113 SH.BK0118 低价 10000118
114 SH.BK0119 国资整合 10000119
115 SH.BK0120 地理信息 10000120
116 SH.BK0121 迪士尼 10000121
117 SH.BK0122 地热 10000122
118 SH.BK0123 低市净率 10000123
119 SH.BK0124 大订单 10000124
120 SH.BK0125 定向增发 10000125
121 SH.BK0126 大飞机 10000126
122 SH.BK0127 大数据 10000127
123 SH.BK0128 大盘 10000128
124 SH.BK0129 电子商务 10000129
125 SH.BK0130 福建自贸区 10000130
126 SH.BK0131 风险警示板 10000131
127 SH.BK0132 风能 10000132
128 SH.BK0133 高价 10000133
129 SH.BK0134 广东自贸区 10000134
130 SH.BK0135 高校概念 10000135
131 SH.BK0136 国资委整合 10000136
132 SH.BK0138 公募增发 10000138
133 SH.BK0140 国际板 10000140
134 SH.BK0142 股权激励 10000142
135 SH.BK0143 国家安全 10000143
136 SH.BK0144 股权投资 10000144
137 SH.BK0145 航天军工 10000145
138 SH.BK0149 沪台通 10000149
139 SH.BK0150 海洋工程 10000150
140 SH.BK0151 海西概念 10000151
141 SH.BK0152 海洋经济 10000152
142 SH.BK0153 核能 10000153
143 SH.BK0154 H股 10000154
144 SH.BK0155 沪深300 10000155
145 SH.BK0156 黄金股 10000156
146 SH.BK0157 IPV6 10000157
147 SH.BK0158 IPO受益 10000158
148 SH.BK0159 节能环保 10000159
149 SH.BK0160 基金增仓 10000160
150 SH.BK0161 金融IC卡 10000161
151 SH.BK0162 金融改革 10000162
152 SH.BK0163 基金新增 10000163
153 SH.BK0164 举牌 10000164
154 SH.BK0165 基因测序 10000165
155 SH.BK0166 京津冀 10000166
156 SH.BK0167 基金重仓 10000167
157 SH.BK0168 宽带中国 10000168
158 SH.BK0169 抗流感 10000169
159 SH.BK0170 LED 10000170
160 SH.BK0171 量子通信 10000171
161 SH.BK0172 蓝宝石 10000172
162 SH.BK0173 锂电池概念 10000173
163 SH.BK0174 民营医院 10000174
164 SH.BK0175 美丽中国 10000175
165 SH.BK0176 煤化工 10000176
166 SH.BK0177 明星基金 10000177
167 SH.BK0178 农村金融 10000178
168 SH.BK0179 内陆自贸区 10000179
169 SH.BK0180 农业机械 10000180
170 SH.BK0181 农垦概念 10000181
171 SH.BK0182 PPP概念 10000182
172 SH.BK0183 PM2.5 10000183
173 SH.BK0184 券商重仓 10000184
174 SH.BK0185 去IOE概念 10000185
