 code plate_name plate_id
0 US.BK2001 专业服务 10002001
1 US.BK2002 专营零售 10002002
2 US.BK2003 个人用品 10002003
3 US.BK2004 互联网 10002004
4 US.BK2005 住宅建筑 10002005
5 US.BK2006 保险 10002006
6 US.BK2007 农产品 10002007
7 US.BK2008 出版 10002008
8 US.BK2009 制药 10002009
9 US.BK2010 化肥农药 10002010
10 US.BK2011 医疗技术 10002011
11 US.BK2012 医疗用品 10002012
12 US.BK2014 医疗设备 10002014
13 US.BK2015 半导体产品 10002015
14 US.BK2016 半导体设备 10002016
15 US.BK2017 商业服务 10002017
16 US.BK2018 商品化工 10002018
17 US.BK2019 多样化地产 10002019
18 US.BK2020 多种化学品 10002020
19 US.BK2021 多种金属 10002021
20 US.BK2022 家具 10002022
21 US.BK2023 家庭装饰品 10002023
22 US.BK2025 家畜肉类 10002025
23 US.BK2026 居家用品 10002026
24 US.BK2027 工业气体 10002027
25 US.BK2028 工业贸易 10002028
26 US.BK2029 工业集团 10002029
27 US.BK2030 广告及宣传 10002030
28 US.BK2031 广播 10002031
29 US.BK2032 建筑产品 10002032
30 US.BK2033 建筑工程 10002033
31 US.BK2034 建筑材料 10002034
32 US.BK2035 影视娱乐 10002035
33 US.BK2036 房地产信托 10002036
34 US.BK2037 房地产开发 10002037
35 US.BK2038 房地产服务 10002038
36 US.BK2040 技术经销商 10002040
37 US.BK2041 护理服务 10002041
38 US.BK2042 护理机构 10002042
39 US.BK2043 摩托车制造 10002043
40 US.BK2044 教育服务 10002044
41 US.BK2045 数据外包 10002045
42 US.BK2046 文娱设施 10002046
43 US.BK2047 新能源发电 10002047
44 US.BK2048 无线电信 10002048
45 US.BK2049 服装 10002049
46 US.BK2050 机场服务 10002050
47 US.BK2051 机械制造 10002051
48 US.BK2052 林业木材 10002052
49 US.BK2053 水务 10002053
50 US.BK2054 汽车制造 10002054
51 US.BK2055 汽车零件 10002055
52 US.BK2056 油气企业 10002056
53 US.BK2057 油气储运 10002057
54 US.BK2058 油气勘探 10002058
55 US.BK2059 油气服务 10002059
56 US.BK2060 油气炼制 10002060
57 US.BK2061 油气设备 10002061
58 US.BK2062 海运 10002062
59 US.BK2063 消闲用品 10002063
60 US.BK2065 煤炭 10002065
61 US.BK2066 燃气供应 10002066
62 US.BK2067 特殊服务 10002067
63 US.BK2068 特种化学品 10002068
64 US.BK2069 生物科技 10002069
65 US.BK2070 生科设备 10002070
66 US.BK2071 电力 10002071
67 US.BK2072 电子元件 10002072
68 US.BK2073 电子制造服务 10002073
69 US.BK2074 电子商务 10002074
70 US.BK2075 电子消费品 10002075
71 US.BK2076 电子设备 10002076
72 US.BK2077 电气设备 10002077
73 US.BK2078 电脑器材 10002078
74 US.BK2080 百货商店 10002080
75 US.BK2081 科技咨询 10002081
76 US.BK2082 管理型保健 10002082
77 US.BK2083 纸及纸制品 10002083
78 US.BK2084 纸类包装 10002084
79 US.BK2085 纺织品 10002085
80 US.BK2086 经销商 10002086
81 US.BK2087 综合公用事业 10002087
82 US.BK2088 综合电信 10002088
83 US.BK2089 航天军工 10002089
84 US.BK2090 航空公司 10002090
85 US.BK2091 航空物流 10002091
86 US.BK2092 药品零售 10002092
87 US.BK2093 贵金属 10002093
88 US.BK2094 赌场博彩 10002094
89 US.BK2095 超市便利店 10002095
90 US.BK2096 软件 10002096
91 US.BK2097 软饮料 10002097
92 US.BK2098 通信设备 10002098
93 US.BK2100 酒类制造商 10002100
94 US.BK2101 钢铁 10002101
95 US.BK2102 铁路公路 10002102
96 US.BK2104 银行 10002104
97 US.BK2105 非纸类包装 10002105
98 US.BK2106 鞋类 10002106
99 US.BK2107 食品分销商 10002107
100 US.BK2108 食品零售 10002108
101 US.BK2110 黄金 10002110
102 US.BK2602 已上市新股 10002602
